RidingNumber,RidingName,Title,FirstName,LastName,Caucus,LegislativePhoneNumber,RidingPhoneNumber,Email
22,Calgary-Peigan,Hon.,Tanya,Fir,UCP,780.644.8554,587.392.8850,Calgary.Peigan@assembly.ab.ca
23,Calgary-Shaw,Hon.,Rebecca,Schulz,UCP,780.644.5255,403.256.8969,Calgary.Shaw@assembly.ab.ca
24,Calgary-South East,Mr.,Matt,Jones,UCP,780.638.3020,403.215.8930,Calgary.SouthEast@assembly.ab.ca
25,Calgary-Varsity,Hon.,Jason,Copping,UCP,780.638.9400,403.216.5436,Calgary.Varsity@assembly.ab.ca
26,Calgary-West,Mr.,Mike,Ellis,UCP,780.644.2395,403.216.5439,Calgary.West@assembly.ab.ca
53,Camrose,Ms.,Jackie,Lovely,UCP,780.638.1258,780.672.0000,Camrose@assembly.ab.ca
54,Cardston-Siksika,Mr.,Joseph,Schow,UCP,780.638.1158,,
55,Central Peace-Notley,Mr.,Todd,Loewen,UCP,780.427.5967,780.835.7211,CentralPeace.Notley@assembly.ab.ca
56,Chestermere-Strathmore,Hon.,Leela,Aheer,UCP,780.422.3559,403.962.0126,Chestermere.Strathmore@assembly.ab.ca
57,Cypress-Medicine Hat,Mr.,Drew,Barnes,UCP,780.427.6662,403.528.2191,Cypress.MedicineHat@assembly.ab.ca
58,Drayton Valley-Devon,Mr.,Mark,Smith,UCP,780.644.7146,780.542.3355,DraytonValley.Devon@assembly.ab.ca
59,Drumheller-Stettler,Mr.,Nate,Horner,UCP,780.643.2993,587.774.0306,Drumheller.Stettler@assembly.ab.ca
27,Edmonton-Beverly-Clareview,Mr.,Deron,Bilous,NDP,780.415.1800,780.476.6467,Edmonton.BeverlyClareview@assembly.ab.ca
28,Edmonton-Castle Downs,Ms.,Nicole,Goehring,NDP,780.415.1800,780.414.0705,Edmonton.Castledowns@assembly.ab.ca
29,Edmonton-City Centre,Mr.,David,Shepherd,NDP,,780.414.0743,Edmonton.CityCentre@assembly.ab.ca
30,Edmonton-Decore,Mr.,Chris,Nielsen,NDP,780.415.1800,780.414.1328,Edmonton.Decore@assembly.ab.ca
31,Edmonton-Ellerslie,Member,Rod,Loyola,NDP,780.415.1800,780.414.2000,Edmonton.Ellerslie@assembly.ab.ca
32,Edmonton-Glenora,Ms.,Sarah,Hoffman,NDP,780.415.1800,780.455.7979,Edmonton.Glenora@assembly.ab.ca
33,Edmonton-Gold Bar,Mr.,Marlin,Schmidt,NDP,780.415.1800,780.414.1015,Edmonton.Goldbar@assembly.ab.ca
34,Edmonton-Highlands-Norwood,Member,Janis,Irwin,NDP,780.415.1800,780.414.0682,Edmonton.HighlandsNorwood@assembly.ab.ca
35,Edmonton-Manning,Ms.,Heather,Sweet,NDP,780.415.1800,780.414.0714,Edmonton.Manning@assembly.ab.ca
36,Edmonton-McClung,Mr.,Lorne,Dach,NDP,780.415.1800,780.408.1860,Edmonton.McClung@assembly.ab.ca
37,Edmonton-Meadows,Mr.,Jasvir,Deol,NDP,780.415.1800,780.466.3737,Edmonton.Meadows@assembly.ab.ca
38,Edmonton-Mill Woods,Ms.,Christina,Gray,NDP,780.415.1800,780.414.1000,Edmonton.Millwoods@assembly.ab.ca
39,Edmonton-North West,Mr.,David,Eggen,NDP,780.415.1800,780.451.2345,Edmonton.Northwest@assembly.ab.ca
40,Edmonton-Riverview,Ms.,Lori,Sigurdson,NDP,780.415.1800,780.414.0719,Edmonton.Riverview@assembly.ab.ca
41,Edmonton-Rutherford,Mr.,Richard,Feehan,NDP,780.415.1800,780.414.1311,Edmonton.Rutherford@assembly.ab.ca
42,Edmonton-South,Mr.,Thomas,Dang,NDP,780.415.1800,780.643.9153,Edmonton.South@assembly.ab.ca
43,Edmonton-South West,Hon.,Kaycee,Madu,UCP,780.427.3744,780.415.8692,Edmonton.SouthWest@assembly.ab.ca
44,Edmonton-Strathcona,Ms.,Rachel,Notley,NDP,780.415.1800,780.414.0702,Edmonton.Strathcona@assembly.ab.ca
45,Edmonton-West Henday,Member,Jon,Carson,NDP,780.415.1800,780.414.0711,Edmonton.WestHenday@assembly.ab.ca
46,Edmonton-Whitemud,Ms.,Rakhi,Pancholi,NDP,780.415.1800,780.413.5970,Edmonton.Whitemud@assembly.ab.ca
60,Fort McMurray-Lac La Biche,Ms.,Laila,Goodridge,UCP,780.643.3884,780.588.7979,FortMcMurray.LacLaBiche@assembly.ab.ca
61,Fort McMurray-Wood Buffalo,Mr.,Tany,Yao,UCP,780.644.7129,780.790.6014,FortMcMurray.WoodBuffalo@assembly.ab.ca
62,Fort Saskatchewan-Vegreville,Ms.,Jackie,Armstrong-Homeniuk,UCP,780.638.3157,780.632.6840,FortSaskatchewan.Vegreville@assembly.ab.ca
63,Grande Prairie,Mrs.,Tracy,Allard,UCP,780.643.1018,780.538.1800,GrandePrairie@assembly.ab.ca
64,Grande Prairie-Wapiti,Hon.,Travis,Toews,UCP,780.415.4855,825.412.2050,GrandePrairie.Wapiti@assembly.ab.ca
65,Highwood,Mr.,R.J.,Sigurdson,UCP,780.638.3156,403.995.5488,Highwood@assembly.ab.ca
66,Innisfail-Sylvan Lake,Hon.,Devin,Dreeshen,UCP,780.427.2137,403.865.7580,Innisfail.SylvanLake@assembly.ab.ca
67,Lac Ste. Anne-Parkland,Mr.,Shane,Getson,UCP,780.638.3021,780.967.0760,LacSteAnne.Parkland@assembly.ab.ca
68,Lacombe-Ponoka,Mr.,Ronald,Orr,UCP,780.638.3275,403.782.7725,Lacombe.Ponoka@assembly.ab.ca
69,Leduc-Beaumont,Mr.,Brad,Rutherford,UCP,780.638.3171,780.929.3290,Leduc.Beaumont@assembly.ab.ca
70,Lesser Slave Lake,Mr.,Pat,Rehn,UCP,780.638.2818,825.219.1000,Lesser.SlaveLake@assembly.ab.ca
71,Lethbridge-East,Mr.,Nathan,Neudorf,UCP,780.643.1034,403.320.1011,Lethbridge.East@assembly.ab.ca
72,Lethbridge-West,Ms.,Shannon,Phillips,NDP,780.415.1800,403.329.4644,Lethbridge.West@assembly.ab.ca
73,Livingstone-Macleod,Mr.,Roger,Reid,UCP,780.638.1241,825.212.2000,Livingstone.Macleod@assembly.ab.ca
74,Maskwacis-Wetaskiwin,Hon.,Rick,Wilson,UCP,780.422.4144,780.360.8003,Maskwacis.Wetaskiwin@assembly.ab.ca
75,Morinville-St. Albert,Hon.,Dale,Nally,UCP,780.427.0265,780.572.6161,Morinville.StAlbert@assembly.ab.ca
76,Olds-Didsbury-Three Hills,Hon.,Nathan,Cooper,UCP,780.427.2464,403.556.3132,OldsDidsbury.ThreeHills@assembly.ab.ca
77,Peace River,Mr.,Dan,Williams,UCP,780.638.3019,780.928.5100,Peace.River@assembly.ab.ca
78,Red Deer-North,Hon.,Adriana,LaGrange,UCP,780.427.5010,403.342.2263,RedDeer.North@assembly.ab.ca
79,Red Deer-South,Mr.,Jason,Stephan,UCP,780.638.3176,403.340.3565,RedDeer.South@assembly.ab.ca
80,Rimbey-Rocky Mountain House-Sundre,Hon.,Jason,Nixon,UCP,780.427.2391,403.638.5029,Rimbey.RockyMountainhouse.Sundre@assembly.ab.ca
81,Sherwood Park,Mr.,Jordan,Walker,UCP,780.638.3017,780.417.4747,Sherwood.Park@assembly.ab.ca
82,Spruce Grove-Stony Plain,Mr.,Searle,Turton,UCP,780.638.3144,780.962.6606,SpruceGrove.StonyPlain@assembly.ab.ca
83,St. Albert,Ms.,Marie,Renaud,NDP,780.415.1800,780.459.9113,St.Albert@assembly.ab.ca
84,Strathcona-Sherwood Park,Hon.,Nate,Glubish,UCP,780.422.6880,780.416.2492,Strathcona.Sherwoodpark@assembly.ab.ca
85,Taber-Warner,Hon.,Grant,Hunter,UCP,780.427.0240,403.223.0001,Taber.Warner@assembly.ab.ca
86,Vermilion-Lloydminster-Wainwright,Mr.,Garth,Rowswell,UCP,780.638.1398,780.842.6177,Vermilion.Lloydminster.Wainwright@assembly.ab.ca
87,West Yellowhead,Mr.,Martin,Long,UCP,780.638.3015,780.712.7790,West.Yellowhead@assembly.ab.ca
